pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
TOI-2145 b,12.24020692,1805.26535176,10.261128,0.1117,0.214,6206.0,1.71,2.75,2023.0,Transit,224.731
TIC 231949697 b,1.52831855,2.95,0.90720448719,,,3451.32,0.490679,0.492584,2026.0,Transit,50.2408
CWISEP J193518.59-154620.3 b,12.2,4926.3403085,,2.48,,,0.024,,2025.0,Imaging,14.43
HD 202772 A b,18.2370116,323.54931833,3.3088775,0.05208,0.03,6442.0,1.721,2.554,2019.0,Transit,161.498
TOI-4588 b,2.92922558,8.9,13.11881173651,0.1376,0.0,7746.12,2.018,1.57458,2026.0,Transit,225.181
TOI-4513 b,2.34587608,6.11,9.76042253684,,,5623.93,0.979,0.796628,2026.0,Transit,102.609
TIC 24750448 b,2.43722231,6.51,3.59159193029,,,4545.43,0.69,0.713599,2026.0,Transit,178.146
TOI-4127 b,12.07,743.71847238,56.3987,0.303,0.7484,6096.0,1.23,1.293,2023.0,Transit,319.632
TOI-697 b,2.35859364,6.16,8.60788713593,,,5681.95,0.97,0.968149,2026.0,Transit,93.7714
TOI-4561 b,1.77789214,3.81,8.93547936706,,,5537.93,1.0,0.851957,2026.0,Transit,179.008
TIC 24750448 c,3.09028272,9.75,10.14385270726,,,4545.43,0.69,0.713599,2026.0,Transit,178.146
GJ 1137 c,2.11,5.12,9.6412,0.0835,0.0,5033.8,0.836,0.837,2026.0,Radial Velocity,28.5159
TIC 87422071 b,10.8615023,409.99864503,11.364929,0.106,0.124,6150.0,1.239,1.489,2026.0,Transit,384.758
